#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2017 12 31 23 50 175  2.5  3.1  1.15 10.81  5.90 283 1018.8  13.3  14.0 999.0 99.0 99.00
2018 01 01 00 50 163  3.4  4.6  0.98 10.00  5.62 289 1019.0  13.4  14.1 999.0 99.0 99.00
2018 01 01 01 50 172  3.5  4.1  0.97 10.00  5.55 292 1019.6  13.5  14.2 999.0 99.0 99.00
2018 01 01 02 50 180  2.8  3.9  0.93 10.00  5.54 271 1020.0  13.6  14.2 999.0 99.0 99.00
2018 01 01 03 50 171  3.0  3.9  0.92 11.43  5.61 269 1020.4  13.7  14.2 999.0 99.0 99.00
2018 01 01 04 50 165  2.3  3.3  0.91 10.81  5.89 254 1020.5  13.7  14.2 999.0 99.0 99.00
2018 01 01 05 50 120  1.9  2.3  0.82 10.00  5.88 285 1021.0  13.7  14.1 999.0 99.0 99.00
2018 01 01 06 50 144  2.1  3.0  0.82 10.00  6.06 291 1021.8  13.8  14.1 999.0 99.0 99.00
2018 01 01 07 50 127  1.5  2.0  0.87 10.00  6.90 290 1022.1  13.7  14.0 999.0 99.0 99.00
2018 01 01 08 50 104  1.7  2.3  0.80 10.00  6.76 290 1022.1  13.5  13.9 999.0 99.0 99.00
2018 01 01 09 50  86  1.6  2.0  0.75 10.81  6.85 298 1022.0  13.4  13.8 999.0 99.0 99.00
2018 01 01 10 50  99  2.3  2.8  0.78 12.90  7.08 233 1022.2  13.2  13.7 999.0 99.0 99.00
2018 01 01 11 50 116  2.2  2.6  0.82 10.00  6.83 296 1022.2  13.0  13.5 999.0 99.0 99.00
2018 01 01 12 50  93  2.1  2.8  0.78 12.90  6.91 217 1022.0  12.9  13.3 999.0 99.0 99.00
2018 01 01 13 50  97  1.6  2.0  0.81 12.90  7.24 235 1022.5  12.8  13.3 999.0 99.0 99.00
2018 01 01 14 50  78  2.4  2.8  0.82 10.00  7.60 309 1022.4  12.8  14.0 999.0 99.0 99.00
2018 01 01 15 50  74  3.1  3.5  0.84 12.90  7.78 224 1022.4  12.8  14.0 999.0 99.0 99.00
2018 01 01 16 50  82  4.6  5.2  0.70 10.00  7.06 295 1022.8  12.3  14.0 999.0 99.0 99.00
2018 01 01 17 50  81  4.2  5.0  0.76 16.00  6.20  10 1023.3  12.3  14.0 999.0 99.0 99.00
2018 01 01 18 50  80  4.6  5.3  0.81 16.00  5.73 299 1023.1  12.1  13.3 999.0 99.0 99.00
2018 01 01 19 50  88  3.4  4.1  0.84 16.00  6.32 300 1022.2  12.2  13.3 999.0 99.0 99.00
2018 01 01 20 50   9  1.6  2.2  0.78 16.00  6.41 280 1021.2  12.7  13.4 999.0 99.0 99.00
2018 01 01 21 50 322  3.2  4.0  0.79 16.00  7.01 312 1020.4  13.4  13.5 999.0 99.0 99.00
2018 01 01 22 50 319  5.2  6.3  0.81 16.00  7.52 296 1020.2  13.9  13.5 999.0 99.0 99.00
2018 01 01 23 50 323  5.2  6.1  0.83 16.00  6.31 287 1019.8  13.8  13.4 999.0 99.0 99.00
2018 01 02 00 50 325  3.9  5.2  0.90 16.00  6.38 287 1019.8  13.9  13.4 999.0 99.0 99.00
2018 01 02 01 50 305  5.2  6.1  0.80 16.00  6.56 291 1020.1  13.9  13.3 999.0 99.0 99.00
2018 01 02 02 50 320  6.3  7.1  0.74 16.00  5.32 288 1020.2  13.8  13.3 999.0 99.0 99.00
2018 01 02 03 50 339  4.4  5.0  1.07 16.00  6.64 291 1019.7  13.7  13.3 999.0 99.0 99.00
2018 01 02 04 50 330  2.6  3.2  1.04 16.00  6.73 301 1020.0  13.8  13.3 999.0 99.0 99.00
2018 01 02 05 50 328  1.9  2.3  1.04 14.81  6.76 282 1020.3  13.8  13.3 999.0 99.0 99.00
2018 01 02 06 50 346  1.9  2.3  0.99 14.81  6.74 281 1020.6  13.7  13.3 999.0 99.0 99.00
2018 01 02 07 50  43  1.8  2.5  1.08 14.81  7.34 292 1020.8  14.2  13.3 999.0 99.0 99.00
2018 01 02 08 50  60  2.2  2.9  1.20 14.81  8.28 299 1020.4  13.7  13.3 999.0 99.0 99.00
2018 01 02 09 50  99  3.5  4.1  1.11 14.81  7.96 297 1020.4  13.4  13.2 999.0 99.0 99.00
2018 01 02 10 50  93  4.2  5.4  1.45 14.81  9.21 292 1020.2  13.5  13.2 999.0 99.0 99.00
2018 01 02 11 50 108  5.2  6.8  1.45 13.79  9.15 300 1020.5  13.7  13.1 999.0 99.0 99.00
2018 01 02 12 50  98  4.6  5.3  1.36 13.79  7.92 297 1020.4  13.7  13.0 999.0 99.0 99.00
2018 01 02 13 50 109  3.1  3.9  1.34 13.79  8.27 304 1020.4  13.5  13.0 999.0 99.0 99.00
2018 01 02 14 50 101  4.1  5.0  1.43 13.79  8.44 304 1020.6  13.5  13.0 999.0 99.0 99.00
2018 01 02 15 50  97  4.8  5.9  1.52 13.79  9.15 296 1020.2  13.5  13.0 999.0 99.0 99.00
2018 01 02 16 50 105  4.8  5.8  1.25 12.90  7.87 297 1020.5  13.7  13.0 999.0 99.0 99.00
2018 01 02 17 50 105  5.4  6.4  1.40 12.90  8.03 297 1020.8  13.7  13.0 999.0 99.0 99.00
2018 01 02 18 50 115  3.6  4.3  1.27 12.90  8.03 294 1020.9  13.4  13.0 999.0 99.0 99.00
2018 01 02 19 50  86  2.4  3.1  1.51 12.90  8.78 292 1020.4  13.3  13.1 999.0 99.0 99.00
2018 01 02 20 50 103  1.4  1.7  1.38 12.12  9.21 288 1019.7  13.5  13.2 999.0 99.0 99.00
2018 01 02 21 50  98  0.8  1.3  1.47 13.79  9.78 293 1019.5  13.5  13.1 999.0 99.0 99.00
2018 01 02 22 50 124  1.2  1.8  1.45 12.90  9.99 290 1019.3  14.0  13.5 999.0 99.0 99.00
2018 01 02 23 50  96  2.1  2.6  1.56 12.90 10.15 281 1018.7  14.0  13.9 999.0 99.0 99.00
2018 01 03 00 50 172  0.8  1.1  1.48 13.79  9.89 291 1018.6  13.9  13.9 999.0 99.0 99.00
2018 01 03 01 50 355  0.6  0.9  1.45 13.79  9.66 297 1018.3  13.6  13.9 999.0 99.0 99.00
2018 01 03 02 50  92  1.2  1.8  1.53 12.90  9.86 295 1018.0  13.5  13.5 999.0 99.0 99.00
2018 01 03 03 50  90  1.6  2.2  1.51 12.90  9.68 293 1017.8  13.8  13.2 999.0 99.0 99.00
2018 01 03 04 50 312  1.4  1.8  1.60 12.90  9.67 286 1018.1  13.7  13.1 999.0 99.0 99.00
2018 01 03 05 50  27  2.0  2.6  1.35 12.90  9.36 294 1017.7  13.5  13.2 999.0 99.0 99.00
2018 01 03 06 50  13  1.7  2.5  1.43 12.12  9.66 287 1017.7  13.5  13.2 999.0 99.0 99.00
2018 01 03 07 50  23  1.1  1.4  1.43 12.90  9.59 294 1017.3  13.8  13.1 999.0 99.0 99.00
2018 01 03 08 50  45  2.3  2.7  1.67 11.43 10.20 290 1016.9  13.4  13.1 999.0 99.0 99.00
2018 01 03 09 50 119  2.4  3.1  1.64 12.12 10.42 284 1017.3  14.1  13.0 999.0 99.0 99.00
2018 01 03 10 50 118  4.1  5.4  1.35 12.12  9.64 298 1017.1  14.0  13.7 999.0 99.0 99.00
2018 01 03 11 50 133  3.4  4.3  1.46 12.12  9.06 293 1016.8  14.1  13.8 999.0 99.0 99.00
2018 01 03 12 50 107  3.4  4.3  1.50 12.12  8.97 294 1016.2  13.9  13.8 999.0 99.0 99.00
2018 01 03 13 50 100  4.6  5.6  1.69 11.43  9.53 296 1015.7  13.8  13.9 999.0 99.0 99.00
2018 01 03 14 50  94  6.2  7.2  1.64 12.12  9.00 292 1015.7  13.7  13.9 999.0 99.0 99.00
2018 01 03 15 50 147  3.9  5.0  1.48 12.12  8.64 293 1016.1  13.9  13.9 999.0 99.0 99.00
2018 01 03 16 50 144  2.5  3.3  1.56 10.81  8.92 293 1016.5  13.9  13.9 999.0 99.0 99.00
2018 01 03 17 50  85  5.0  6.0  1.73 14.81  9.08 297 1016.1  13.9  13.9 999.0 99.0 99.00
2018 01 03 18 50 102  5.3  6.3  1.65 13.79  8.72 294 1016.2  14.1  13.9 999.0 99.0 99.00
2018 01 03 19 50 102  4.4  6.0  1.57 12.90  8.51 293 1016.3  13.8  13.9 999.0 99.0 99.00
2018 01 03 20 50 130  5.5  6.7  1.65 13.79  9.03 291 1016.5  13.7  14.0 999.0 99.0 99.00
2018 01 03 21 50  79  5.6  8.4  1.71 13.79  8.76 290 1014.3  13.0  14.0 999.0 99.0 99.00
2018 01 03 22 50 113  7.0  8.5  1.60 12.90  7.01 291 1014.6  14.0  14.0 999.0 99.0 99.00
